claim_id,policy_number,policyholder_name,claim_date,incident_date,incident_type,claim_amount,approved_amount,status,adjuster_name,fraud_flag,fraud_score,region,policy_type,deductible,settlement_date,processing_days
CLM-0001,POL-719176,Customer_0001,2024-10-23,2024-10-23,Liability,32209.9,0.0,Denied,Lisa Anderson,False,0.36,East,Property,1000,2024-11-06,14
CLM-0002,POL-539898,Customer_0002,2024-08-02,2024-08-02,Auto Collision,45947.37,0.0,Pending,James Wilson,False,0.26,South,Property,5000,,18
CLM-0003,POL-988662,Customer_0003,2025-10-12,2025-10-03,Medical Claim,51367.45,34015.1,Settled,David Kim,False,0.16,North,Property,2500,2025-11-29,48
CLM-0004,POL-705397,Customer_0004,2025-04-09,2025-03-28,Auto Collision,73037.45,54881.34,Approved,James Wilson,False,0.25,West,Liability,2000,2025-05-28,49
CLM-0005,POL-270555,Customer_0005,2024-09-10,2024-09-10,Liability,171786.96,162612.41,Approved,David Kim,False,0.26,South,Health,500,2024-10-29,49
CLM-0006,POL-383060,Customer_0006,2025-07-02,2025-06-29,Liability,128820.77,0.0,Pending,Aisha Mohammed,False,0.07,East,Auto,1500,,13
CLM-0007,POL-322955,Customer_0007,2025-02-20,2025-02-10,Medical Claim,120854.35,91905.61,Approved,Robert Taylor,False,0.38,North,Property,1000,2025-04-04,43
CLM-0008,POL-549245,Customer_0008,2025-08-24,2025-08-10,Liability,32227.91,0.0,Under Review,Thomas Brown,False,0.11,West,Property,5000,,19
CLM-0009,POL-542666,Customer_0009,2025-08-18,2025-08-13,Property Damage,27272.81,16877.68,Settled,Thomas Brown,False,0.07,South,Liability,1000,2025-11-16,90
CLM-0010,POL-663054,Customer_0010,2024-09-10,2024-09-04,Theft,13319.29,0.0,Pending,Maria Garcia,False,0.05,Central,Life,0,,29
CLM-0011,POL-632342,Customer_0011,2025-06-15,2025-06-14,Medical Claim,985.17,875.66,Settled,Michael Chen,False,0.21,West,Property,5000,2025-07-10,25
CLM-0012,POL-100599,Customer_0012,2025-05-15,2025-05-02,Liability,34803.66,0.0,Denied,Thomas Brown,False,0.31,Central,Liability,1000,2025-07-24,70
CLM-0013,POL-867460,Customer_0013,2025-06-04,2025-05-28,Auto Collision,19480.02,0.0,Under Review,Robert Taylor,False,0.38,North,Health,250,,3
CLM-0014,POL-665492,Customer_0014,2024-09-21,2024-09-09,Natural Disaster,473955.85,315678.67,Settled,James Wilson,False,0.18,South,Property,5000,2024-10-21,30
CLM-0015,POL-680828,Customer_0015,2025-05-22,2025-05-16,Liability,93039.8,0.0,Pending,James Wilson,False,0.14,East,Life,0,,19
CLM-0016,POL-324643,Customer_0016,2025-02-11,2025-02-11,Auto Collision,68095.66,64272.37,Approved,Aisha Mohammed,False,0.12,North,Property,1000,2025-04-17,65
CLM-0017,POL-471507,Customer_0017,2024-11-24,2024-11-13,Natural Disaster,394463.52,0.0,Denied,Lisa Anderson,False,0.05,Central,Life,0,2025-01-21,58
CLM-0018,POL-246991,Customer_0018,2025-09-01,2025-08-25,Fire Damage,170009.19,125079.34,Approved,Lisa Anderson,False,0.08,North,Auto,500,2025-10-31,60
CLM-0019,POL-197793,Customer_0019,2025-01-08,2025-01-04,Theft,40593.09,38254.39,Settled,James Wilson,True,0.99,South,Auto,500,2025-01-12,4
CLM-0020,POL-399105,Customer_0020,2024-12-24,2024-12-18,Theft,45219.7,30109.76,Settled,Lisa Anderson,False,0.11,West,Property,1000,2025-02-23,61
CLM-0021,POL-627276,Customer_0021,2025-11-13,2025-11-11,Property Damage,146899.17,119998.71,Approved,Aisha Mohammed,False,0.03,East,Property,5000,2026-01-16,64
CLM-0022,POL-358175,Customer_0022,2024-12-09,2024-12-09,Natural Disaster,301567.2,262389.1,Approved,Thomas Brown,False,0.38,North,Property,1000,2025-02-22,75
CLM-0023,POL-378517,Customer_0023,2024-08-19,2024-08-10,Auto Collision,40163.14,0.0,Pending,Lisa Anderson,False,0.29,West,Liability,2000,,8
CLM-0024,POL-204837,Customer_0024,2024-11-22,2024-11-12,Liability,186158.57,0.0,Under Review,Michael Chen,True,0.86,East,Life,0,,19
CLM-0025,POL-741390,Customer_0025,2025-02-12,2025-02-04,Medical Claim,131950.9,98674.31,Approved,Aisha Mohammed,False,0.22,South,Health,250,2025-03-25,41
CLM-0026,POL-385577,Customer_0026,2024-07-19,2024-07-09,Fire Damage,376488.05,246116.43,Approved,Maria Garcia,False,0.3,Central,Health,250,2024-08-10,22
CLM-0027,POL-146228,Customer_0027,2025-02-12,2025-02-01,Medical Claim,73535.51,0.0,Pending,Sarah Johnson,False,0.18,South,Health,250,,9
CLM-0028,POL-672092,Customer_0028,2025-06-19,2025-06-07,Property Damage,140161.7,108075.15,Settled,Sarah Johnson,False,0.38,East,Property,1000,2025-07-11,22
CLM-0029,POL-475190,Customer_0029,2025-07-23,2025-07-14,Natural Disaster,30496.14,0.0,Denied,James Wilson,False,0.32,South,Life,0,2025-07-31,8
CLM-0030,POL-532322,Customer_0030,2025-03-23,2025-03-13,Auto Collision,73090.1,65765.82,Settled,Sarah Johnson,False,0.39,East,Liability,1000,2025-04-17,25
CLM-0031,POL-593554,Customer_0031,2025-01-11,2024-12-31,Medical Claim,24300.08,0.0,Under Review,James Wilson,False,0.35,West,Property,5000,,28
CLM-0032,POL-910891,Customer_0032,2025-02-03,2025-01-21,Theft,11923.25,0.0,Denied,Maria Garcia,False,0.14,East,Health,1000,2025-02-14,11
CLM-0033,POL-378361,Customer_0033,2025-07-05,2025-06-25,Natural Disaster,470226.2,0.0,Under Review,Sarah Johnson,False,0.11,West,Liability,1000,,19
CLM-0034,POL-843215,Customer_0034,2024-10-29,2024-10-20,Theft,30704.23,24703.68,Settled,Lisa Anderson,False,0.08,East,Health,500,2024-11-06,8
CLM-0035,POL-989208,Customer_0035,2024-07-10,2024-07-02,Fire Damage,181049.5,0.0,Under Review,Michael Chen,False,0.25,Central,Property,5000,,22
CLM-0036,POL-884475,Customer_0036,2025-05-12,2025-05-04,Medical Claim,104732.66,86065.63,Settled,Priya Patel,False,0.38,West,Health,250,2025-08-09,89
CLM-0037,POL-563638,Customer_0037,2025-05-11,2025-05-05,Natural Disaster,112989.52,0.0,Under Review,James Wilson,False,0.14,North,Health,1000,,15
CLM-0038,POL-346277,Customer_0038,2025-12-13,2025-12-06,Fire Damage,213449.02,0.0,Under Review,Maria Garcia,False,0.05,South,Auto,1500,,25
CLM-0039,POL-303880,Customer_0039,2025-02-28,2025-02-16,Property Damage,64986.42,51342.82,Approved,Lisa Anderson,False,0.36,South,Auto,500,2025-05-15,76
CLM-0040,POL-989545,Customer_0040,2025-11-25,2025-11-19,Property Damage,195713.0,134559.82,Approved,Michael Chen,False,0.03,South,Auto,1500,2025-12-29,34
CLM-0041,POL-547470,Customer_0041,2025-10-13,2025-10-11,Fire Damage,244249.14,0.0,Pending,Aisha Mohammed,False,0.29,West,Liability,2000,,17
CLM-0042,POL-350867,Customer_0042,2025-10-14,2025-09-30,Property Damage,189185.31,0.0,Under Review,Maria Garcia,False,0.21,West,Life,0,,21
CLM-0043,POL-827659,Customer_0043,2025-09-25,2025-09-24,Liability,70490.27,0.0,Under Review,Priya Patel,False,0.07,East,Property,5000,,13
CLM-0044,POL-907189,Customer_0044,2025-02-06,2025-02-05,Theft,23830.29,0.0,Pending,Thomas Brown,False,0.17,West,Health,250,,29
CLM-0045,POL-664365,Customer_0045,2024-08-03,2024-07-21,Fire Damage,17269.99,12791.94,Settled,Aisha Mohammed,False,0.38,Central,Life,0,2024-09-28,56
CLM-0046,POL-752483,Customer_0046,2025-02-18,2025-02-11,Property Damage,12111.08,8895.0,Settled,Aisha Mohammed,False,0.34,East,Life,0,2025-03-09,19
CLM-0047,POL-321941,Customer_0047,2024-08-11,2024-07-28,Theft,5113.43,3944.73,Approved,Robert Taylor,False,0.11,Central,Liability,2000,2024-09-24,44
CLM-0048,POL-335113,Customer_0048,2025-06-05,2025-05-31,Fire Damage,112124.54,70948.2,Settled,Michael Chen,False,0.03,West,Health,250,2025-07-22,47
CLM-0049,POL-587623,Customer_0049,2024-08-23,2024-08-11,Auto Collision,47357.5,32933.26,Approved,Maria Garcia,False,0.23,South,Property,2500,2024-09-22,30
CLM-0050,POL-810250,Customer_0050,2025-07-15,2025-07-13,Natural Disaster,482713.18,0.0,Denied,Lisa Anderson,False,0.37,Central,Auto,500,2025-09-29,76
CLM-0051,POL-934904,Customer_0051,2025-08-22,2025-08-11,Property Damage,29965.82,0.0,Denied,Thomas Brown,False,0.24,North,Liability,2000,2025-09-09,18
CLM-0052,POL-766459,Customer_0052,2024-08-17,2024-08-12,Natural Disaster,257920.79,189956.72,Approved,Robert Taylor,False,0.05,West,Health,500,2024-10-05,49
CLM-0053,POL-866536,Customer_0053,2024-12-10,2024-12-04,Property Damage,203008.81,0.0,Pending,Thomas Brown,False,0.19,Central,Health,1000,,27
CLM-0054,POL-497399,Customer_0054,2025-04-06,2025-04-01,Fire Damage,354428.01,0.0,Under Review,David Kim,False,0.23,South,Auto,500,,22
